"name","url","hasComponents","hasVoiceAndTone","hasDesignersKit","hasSourceCode"
"Mail.ru Group Paradigm","https://design.mail.ru/","True","True","True","False"
"Pearson UX Framework","https://uxframework.pearson.com/","True","True","True","True"
"Pinterest Gestalt","https://pinterest.github.io/gestalt/#/","True","False","False","True"
"Pivotal","https://styleguide.pivotal.io/","True","False","False","True"
"Pluralsight Design System","https://design-system.pluralsight.com/","True","False","False","True"
"Predix Design System","https://www.predix-ui.com/","True","True","True","False"
"Priceline Design System","https://priceline.github.io/design-system/","True","True","False","True"
"Pulse Design System","https://pulse.heartbeat.ua/","True","True","True","True"
"Pusher Chameleon","https://pusher.github.io/chameleon/","True","False","False","True"
"Radix","https://radix.modulz.app/docs/getting-started/","True","False","False","True"
"Rambler","https://rambler-digital-solutions.github.io/rambler-ui/","True","False","False","True"
"Rendition","https://balena-io-modules.github.io/rendition/","True","False","False","True"
"Salesforce Lightning Design System","https://www.lightningdesignsystem.com","True","True","True","True"
"SAP Fiori","https://experience.sap.com/fiori-design/","True","False","False","False"
"SAP Fundamental","https://github.com/SAP/fundamental","True","False","False","True"
"SAP OpenUI","https://github.com/SAP/openui5","True","False","False","True"
"Seeds","https://sproutsocial.com/seeds","True","True","True","False"
"SEEK Style Guide","https://seek-oss.github.io/seek-style-guide/","True","False","False","True"
"Shopify Polaris","https://polaris.shopify.com","True","True","True","True"
"Stacks – Stack Overflow","https://stackoverflow.design/","True","True","False","True"
"Starbucks Style Guide","https://www.starbucks.com/static/reference/styleguide/","True","False","False","False"
"Sky Toolkit","https://www.sky.com/toolkit","True","False","False","True"
"The University of Melbourne Design System","https://web.unimelb.edu.au/","True","False","False","True"
"Teambition Clarity Design","https://design.teambition.com/","True","False","False","False"
"Thumbprint","https://thumbprint.design/","True","False","False","True"
"Twilio Paste","https://paste.twilio.design/","True","True","True","True"
"Uber's Base Web","https://baseweb.design/","True","False","False","True"
"Ubuntu Vanilla framework","https://vanillaframework.io/","True","True","True","True"
"USPTO UI Design Library","https://uspto.github.io/designpatterns/index.html","True","False","True","True"
"uSwitch style guide","https://ustyle.guide/","True","True","False","True"
"U.S. Web Design Standards","https://designsystem.digital.gov/","True","True","True","True"
"U.S. CMS.gov Design System","https://design.cms.gov/","True","False","False","False"
"VMware Clarity Design System","https://vmware.github.io/clarity/","True","True","True","True"
"VTEX Styleguide","https://styleguide.vtex.com/","True","False","True","True"
"Vue Design System","https://vueds.com/","True","False","False","True"
"WeWork Plasma","http://plasma.guide","True","False","False","False"
"Ray by WeWork","https://ray.wework.com","True","False","False","True"
"Welcome UI","http://www.welcome-ui.com/","True","False","False","True"
"Vercel","https://vercel.com/design","True","False","False","False"
"Workday Canvas","https://design.workday.com/","True","True","False","True"
"Yelp Styleguide","https://www.yelp.com/styleguide","True","True","False","False"
"Zendesk Garden","https://garden.zendesk.com/","True","False","False","True"
"Gympass Yoga","https://gympass.github.io/yoga/","True","True","False","True"
